primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,geo_data
grewar3,[],['call'],55.0759,47.7804,Phylloscopus trochiloides,Greenish Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/189949,grewar3/XC189949.ogg,55.0759 47.7804 Albert Lastukhin
bcnher,[],[''],46.7939,-0.3576,Nycticorax nycticorax,Black-crowned Night-Heron,Martin Grienenberger,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/819487,bcnher/XC819487.ogg,46.7939 -0.3576 Martin Grienenberger
blrwar1,[],[''],59.4092,17.952,Acrocephalus dumetorum,Blyth's Reed Warbler,Alan Dalton,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/733964,blrwar1/XC733964.ogg,59.4092 17.952 Alan Dalton
litegr,[],"['barks', 'call', 'croaks', 'growls', 'snarls']",52.3016,0.2678,Egretta garzetta,Little Egret,Tony Fulford,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/332727,litegr/XC332727.ogg,52.3016 0.2678 Tony Fulford
greegr,[],"['call', 'flight call']",35.3769,136.0386,Ardea alba,Great Egret,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/295629,greegr/XC295629.ogg,35.3769 136.0386 Anon Torimi
rewbul,[],['call'],11.096,76.6518,Pycnonotus jocosus,Red-whiskered Bulbul,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/406126,rewbul/XC406126.ogg,11.096 76.6518 Dilip KG
eurcoo,[],[''],50.6041,5.6641,Fulica atra,Eurasian Coot,Chèvremont Fabian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/706988,eurcoo/XC706988.ogg,50.6041 5.6641 Chèvremont Fabian
rorpar,[],"['adult', 'female', 'male']",51.4766,-0.2355,Psittacula krameri,Rose-ringed Parakeet,Shailesh Patel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/647602,rorpar/XC647602.ogg,51.4766 -0.2355 Shailesh Patel
grtdro1,[],['Call'],0.6837,104.26,Dicrurus paradiseus,Greater Racket-tailed Drongo,Okamoto Keita Sin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/528834,grtdro1/XC528834.ogg,0.6837 104.26 Okamoto Keita Sin
eurcoo,[],"['begging call', 'juvenile']",42.829,13.768,Fulica atra,Eurasian Coot,Dimitri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/325111,eurcoo/XC325111.ogg,42.829 13.768 Dimitri
